2.380000000e+00 -3.329283700e-03  0.000000000e+00 -6.569398191e-04
2.390000000e+00 -3.365494316e-03  0.000000000e+00 -6.632151777e-04
2.400000000e+00 -3.401915598e-03  0.000000000e+00 -6.695082961e-04
2.410000000e+00 -3.438547373e-03  0.000000000e+00 -6.758188222e-04
2.420000000e+00 -3.475389460e-03  0.000000000e+00 -6.821464013e-04
2.430000000e+00 -3.512441672e-03  0.000000000e+00 -6.884906761e-04
2.440000000e+00 -3.549703815e-03  0.000000000e+00 -6.948512867e-04
2.450000000e+00 -3.587175689e-03  0.000000000e+00 -7.012278709e-04
2.460000000e+00 -3.624857085e-03  0.000000000e+00 -7.076200637e-04
2.470000000e+00 -3.662747789e-03  0.000000000e+00 -7.140274979e-04
2.480000000e+00 -3.700847579e-03  0.000000000e+00 -7.204498038e-04
2.490000000e+00 -3.739156228e-03  0.000000000e+00 -7.268866093e-04
2.500000000e+00 -3.777673500e-03  0.000000000e+00 -7.333375399e-04
2.510000000e+00 -3.816399154e-03  0.000000000e+00 -7.398022189e-04
2.520000000e+00 -3.855332940e-03  0.000000000e+00 -7.462802670e-04
2.530000000e+00 -3.894474605e-03  0.000000000e+00 -7.527713031e-04
2.540000000e+00 -3.933823885e-03  0.000000000e+00 -7.592749433e-04
2.550000000e+00 -3.973380512e-03  0.000000000e+00 -7.657908019e-04
2.560000000e+00 -4.013144211e-03  0.000000000e+00 -7.723184908e-04
2.570000000e+00 -4.053114700e-03  0.000000000e+00 -7.788576199e-04
2.580000000e+00 -4.093291690e-03  0.000000000e+00 -7.854077969e-04
2.590000000e+00 -4.133674886e-03  0.000000000e+00 -7.919686272e-04
2.600000000e+00 -4.174263987e-03  0.000000000e+00 -7.985397146e-04
2.610000000e+00 -4.215058684e-03  0.000000000e+00 -8.051206604e-04
2.620000000e+00 -4.256058662e-03  0.000000000e+00 -8.117110642e-04
2.630000000e+00 -4.297263600e-03  0.000000000e+00 -8.183105235e-04
2.640000000e+00 -4.338673170e-03  0.000000000e+00 -8.249186340e-04
2.650000000e+00 -4.380287038e-03  0.000000000e+00 -8.315349893e-04
2.660000000e+00 -4.422104863e-03  0.000000000e+00 -8.381591812e-04
2.670000000e+00 -4.464126297e-03  0.000000000e+00 -8.447907997e-04
2.680000000e+00 -4.506350986e-03  0.000000000e+00 -8.514294331e-04
2.690000000e+00 -4.548778572e-03  0.000000000e+00 -8.580746677e-04
2.700000000e+00 -4.591408687e-03  0.000000000e+00 -8.647260882e-04
2.710000000e+00 -4.634240958e-03  0.000000000e+00 -8.713832775e-04
2.720000000e+00 -4.677275006e-03  0.000000000e+00 -8.780458169e-04
2.730000000e+00 -4.720510446e-03  0.000000000e+00 -8.847132861e-04
2.740000000e+00 -4.763946886e-03  0.000000000e+00 -8.913852631e-04
2.750000000e+00 -4.807583928e-03  0.000000000e+00 -8.980613243e-04
2.760000000e+00 -4.851421167e-03  0.000000000e+00 -9.047410447e-04
2.770000000e+00 -4.895458193e-03  0.000000000e+00 -9.114239976e-04
2.780000000e+00 -4.939694589e-03  0.000000000e+00 -9.181097551e-04
2.790000000e+00 -4.984129933e-03  0.000000000e+00 -9.247978875e-04
2.800000000e+00 -5.028763794e-03  0.000000000e+00 -9.314879639e-04
2.810000000e+00 -5.073595737e-03  0.000000000e+00 -9.381795522e-04
2.820000000e+00 -5.118625322e-03  0.000000000e+00 -9.448722186e-04
2.830000000e+00 -5.163852100e-03  0.000000000e+00 -9.515655283e-04
2.840000000e+00 -5.209275617e-03  0.000000000e+00 -9.582590449e-04
2.850000000e+00 -5.254895415e-03  0.000000000e+00 -9.649523312e-04
2.860000000e+00 -5.300711027e-03  0.000000000e+00 -9.716449485e-04
2.870000000e+00 -5.346721981e-03  0.000000000e+00 -9.783364570e-04
2.880000000e+00 -5.392927799e-03  0.000000000e+00 -9.850264157e-04
2.890000000e+00 -5.439327998e-03  0.000000000e+00 -9.917143827e-04
2.900000000e+00 -5.485922087e-03  0.000000000e+00 -9.983999149e-04
2.910000000e+00 -5.532709571e-03  0.000000000e+00 -1.005082568e-03
2.920000000e+00 -5.579689948e-03  0.000000000e+00 -1.011761898e-03
2.930000000e+00 -5.626862711e-03  0.000000000e+00 -1.018437457e-03
2.940000000e+00 -5.674227345e-03  0.000000000e+00 -1.025108799e-03
2.950000000e+00 -5.721783332e-03  0.000000000e+00 -1.031775477e-03
2.960000000e+00 -5.769530146e-03  0.000000000e+00 -1.038437041e-03
2.970000000e+00 -5.817467256e-03  0.000000000e+00 -1.045093042e-03
2.980000000e+00 -5.865594125e-03  0.000000000e+00 -1.051743030e-03
2.990000000e+00 -5.913910211e-03  0.000000000e+00 -1.058386554e-03
3.000000000e+00 -5.962414965e-03  0.000000000e+00 -1.065023162e-03
3.010000000e+00 -6.011107833e-03  0.000000000e+00 -1.071652402e-03
3.020000000e+00 -6.059988255e-03  0.000000000e+00 -1.078273821e-03
3.030000000e+00 -6.109055666e-03  0.000000000e+00 -1.084886965e-03
3.040000000e+00 -6.158309493e-03  0.000000000e+00 -1.091491380e-03
3.050000000e+00 -6.207749161e-03  0.000000000e+00 -1.098086611e-03
3.060000000e+00 -6.257374086e-03  0.000000000e+00 -1.104672204e-03
3.070000000e+00 -6.307183681e-03  0.000000000e+00 -1.111247703e-03
3.080000000e+00 -6.357177352e-03  0.000000000e+00 -1.117812651e-03
3.090000000e+00 -6.407354499e-03  0.000000000e+00 -1.124366593e-03
3.100000000e+00 -6.457714517e-03  0.000000000e+00 -1.130909071e-03
3.110000000e+00 -6.508256797e-03  0.000000000e+00 -1.137439629e-03
3.120000000e+00 -6.558980722e-03  0.000000000e+00 -1.143957810e-03
3.130000000e+00 -6.609885670e-03  0.000000000e+00 -1.150463156e-03
3.140000000e+00 -6.660971015e-03  0.000000000e+00 -1.156955209e-03
3.150000000e+00 -6.712236125e-03  0.000000000e+00 -1.163433511e-03
3.160000000e+00 -6.763680362e-03  0.000000000e+00 -1.169897605e-03
3.170000000e+00 -6.815303082e-03  0.000000000e+00 -1.176347032e-03
3.180000000e+00 -6.867103638e-03  0.000000000e+00 -1.182781335e-03
3.190000000e+00 -6.919081375e-03  0.000000000e+00 -1.189200055e-03
3.200000000e+00 -6.971235635e-03  0.000000000e+00 -1.195602735e-03
3.210000000e+00 -7.023565752e-03  0.000000000e+00 -1.201988916e-03
3.220000000e+00 -7.076071058e-03  0.000000000e+00 -1.208358140e-03
3.230000000e+00 -7.128750876e-03  0.000000000e+00 -1.214709951e-03
3.240000000e+00 -7.181604528e-03  0.000000000e+00 -1.221043889e-03
3.250000000e+00 -7.234631327e-03  0.000000000e+00 -1.227359498e-03
3.260000000e+00 -7.287830583e-03  0.000000000e+00 -1.233656321e-03
3.270000000e+00 -7.341201599e-03  0.000000000e+00 -1.239933902e-03
3.280000000e+00 -7.394743676e-03  0.000000000e+00 -1.246191782e-03
3.290000000e+00 -7.448456107e-03  0.000000000e+00 -1.252429508e-03
3.300000000e+00 -7.502338181e-03  0.000000000e+00 -1.258646622e-03
3.310000000e+00 -7.556389182e-03  0.000000000e+00 -1.264842669e-03
3.320000000e+00 -7.610608387e-03  0.000000000e+00 -1.271017195e-03
3.330000000e+00 -7.664995072e-03  0.000000000e+00 -1.277169746e-03
3.340000000e+00 -7.719548505e-03  0.000000000e+00 -1.283299868e-03
3.350000000e+00 -7.774267949e-03  0.000000000e+00 -1.289407107e-03
3.360000000e+00 -7.829152664e-03  0.000000000e+00 -1.295491011e-03
3.370000000e+00 -7.884201902e-03  0.000000000e+00 -1.301551128e-03
3.380000000e+00 -7.939414913e-03  0.000000000e+00 -1.307587007e-03
3.390000000e+00 -7.994790942e-03  0.000000000e+00 -1.313598198e-03
3.400000000e+00 -8.050329226e-03  0.000000000e+00 -1.319584251e-03
3.410000000e+00 -8.106029001e-03  0.000000000e+00 -1.325544717e-03
3.420000000e+00 -8.161889496e-03  0.000000000e+00 -1.331479147e-03
3.430000000e+00 -8.217909936e-03  0.000000000e+00 -1.337387096e-03
3.440000000e+00 -8.274089541e-03  0.000000000e+00 -1.343268116e-03
3.450000000e+00 -8.330427526e-03  0.000000000e+00 -1.349121763e-03
3.460000000e+00 -8.386923101e-03  0.000000000e+00 -1.354947591e-03
3.470000000e+00 -8.443575473e-03  0.000000000e+00 -1.360745158e-03
3.480000000e+00 -8.500383842e-03  0.000000000e+00 -1.366514022e-03
3.490000000e+00 -8.557347405e-03  0.000000000e+00 -1.372253741e-03
3.500000000e+00 -8.614465355e-03  0.000000000e+00 -1.377963875e-03
3.510000000e+00 -8.671736877e-03  0.000000000e+00 -1.383643985e-03
3.520000000e+00 -8.729161156e-03  0.000000000e+00 -1.389293635e-03
3.530000000e+00 -8.786737370e-03  0.000000000e+00 -1.394912387e-03
3.540000000e+00 -8.844464691e-03  0.000000000e+00 -1.400499806e-03
3.550000000e+00 -8.902342290e-03  0.000000000e+00 -1.406055458e-03
3.560000000e+00 -8.960369331e-03  0.000000000e+00 -1.411578911e-03
