1.420000000e+00 -4.355394701e-03 -6.504601326e-06  2.402365614e-01
1.430000000e+00 -4.339080267e-03 -6.504601326e-06  2.402399729e-01
1.440000000e+00 -4.322574058e-03 -6.504601326e-06  2.402434207e-01
1.450000000e+00 -4.305875479e-03 -6.504601326e-06  2.402469046e-01
1.460000000e+00 -4.288983948e-03 -6.504601326e-06  2.402504247e-01
1.470000000e+00 -4.271898890e-03 -6.504601326e-06  2.402539810e-01
1.480000000e+00 -4.254619739e-03 -6.504601326e-06  2.402575734e-01
1.490000000e+00 -4.237145939e-03 -6.504601326e-06  2.402612019e-01
1.500000000e+00 -4.219476941e-03 -6.504601326e-06  2.402648664e-01
1.510000000e+00 -4.201612207e-03 -6.504601326e-06  2.402685670e-01
1.520000000e+00 -4.183551208e-03 -6.504601326e-06  2.402723036e-01
1.530000000e+00 -4.165293423e-03 -6.504601326e-06  2.402760761e-01
1.540000000e+00 -4.146838338e-03 -6.504601326e-06  2.402798845e-01
1.550000000e+00 -4.128185452e-03 -6.504601326e-06  2.402837287e-01
1.560000000e+00 -4.109334271e-03 -6.504601326e-06  2.402876087e-01
1.570000000e+00 -4.090284307e-03 -6.504601326e-06  2.402915245e-01
1.580000000e+00 -4.071035085e-03 -6.504601326e-06  2.402954759e-01
1.590000000e+00 -4.051586137e-03 -6.504601326e-06  2.402994629e-01
1.600000000e+00 -4.031937004e-03 -6.504601326e-06  2.403034854e-01
1.610000000e+00 -4.012087234e-03 -6.504601326e-06  2.403075433e-01
1.620000000e+00 -3.992036387e-03 -6.504601326e-06  2.403116367e-01
1.630000000e+00 -3.971784028e-03 -6.504601326e-06  2.403157652e-01
1.640000000e+00 -3.951329734e-03 -6.504601326e-06  2.403199290e-01
1.650000000e+00 -3.930673088e-03 -6.504601326e-06  2.403241279e-01
1.660000000e+00 -3.909813683e-03 -6.504601326e-06  2.403283617e-01
1.670000000e+00 -3.888751120e-03 -6.504601326e-06  2.403326305e-01
1.680000000e+00 -3.867485009e-03 -6.504601326e-06  2.403369340e-01
