1.000000000e-01 -3.374308053e-08  1.506915643e-07 -5.236000033e-01  1.047196362e+00 -5.235994669e-01 -1.575474346e-07 -3.293029698e-08  6.931049203e-08 -5.235998734e-01  1.047196178e+00 -5.235996598e-01  3.076478735e-07  1.745329097e+00  1.551309268e-08 -1.917382354e-09 -5.235990161e-01  1.745329095e+00 -8.071686294e-09  2.407363273e-09 -5.235990161e-01
1.100000000e-01 -3.640828114e-08  1.693356087e-07 -5.236001674e-01  1.047196142e+00 -5.235995726e-01 -1.774602341e-07 -3.695065715e-08  7.884975199e-08 -5.236000252e-01  1.047195942e+00 -5.235997855e-01  3.369555246e-07  1.745329106e+00  1.719689810e-08 -2.044822445e-09 -5.235990177e-01  1.745329104e+00 -8.582705397e-09  2.663092527e-09 -5.235990178e-01
1.200000000e-01 -3.585669611e-08  1.876069555e-07 -5.236003427e-01  1.047195912e+00 -5.235996905e-01 -1.939325444e-07 -4.329963639e-08  9.061923671e-08 -5.236001892e-01  1.047195696e+00 -5.235999205e-01  3.624122273e-07  1.745329115e+00  1.890292799e-08 -2.161158376e-09 -5.235990194e-01  1.745329113e+00 -9.045695609e-09  2.922337763e-09 -5.235990195e-01
1.300000000e-01 -4.181742639e-08  2.070815336e-07 -5.236005299e-01  1.047195672e+00 -5.235998200e-01 -2.083497415e-07 -4.290296257e-08  1.035072956e-07 -5.236003647e-01  1.047195440e+00 -5.236000656e-01  3.862257355e-07  1.745329124e+00  2.064811359e-08 -2.266961844e-09 -5.235990211e-01  1.745329121e+00 -9.444255834e-09  3.183352546e-09 -5.235990212e-01
1.400000000e-01 -4.925242052e-08  2.277643862e-07 -5.236007292e-01  1.047195421e+00 -5.235999588e-01 -2.276415308e-07 -4.191467297e-08  1.147316280e-07 -5.236005516e-01  1.047195174e+00 -5.236002230e-01  4.119907946e-07  1.745329133e+00  2.240413331e-08 -2.360482650e-09 -5.235990229e-01  1.745329130e+00 -9.807016310e-09  3.448841798e-09 -5.235990229e-01
1.500000000e-01 -4.909190389e-08  2.478421069e-07 -5.236009395e-01  1.047195160e+00 -5.236001086e-01 -2.460725044e-07 -4.801207479e-08  1.278883894e-07 -5.236007509e-01  1.047194898e+00 -5.236003908e-01  4.361724544e-07  1.745329142e+00  2.418992005e-08 -2.443144674e-09 -5.235990246e-01  1.745329139e+00 -1.011515528e-08  3.717600782e-09 -5.235990246e-01
1.600000000e-01 -5.092037686e-08  2.679460228e-07 -5.236011607e-01  1.047194889e+00 -5.236002713e-01 -2.604632152e-07 -5.083375347e-08  1.428789707e-07 -5.236009627e-01  1.047194612e+00 -5.236005672e-01  4.559743363e-07  1.745329150e+00  2.600248743e-08 -2.514850735e-09 -5.235990263e-01  1.745329147e+00 -1.037170262e-08  3.989346171e-09 -5.235990264e-01
1.700000000e-01 -5.684612439e-08  2.891077248e-07 -5.236013945e-01  1.047194607e+00 -5.236004435e-01 -2.777603663e-07 -5.060340015e-08  1.575182099e-07 -5.236011853e-01  1.047194316e+00 -5.236007559e-01  4.770675451e-07  1.745329159e+00  2.783501261e-08 -2.574965119e-09 -5.235990281e-01  1.745329155e+00 -1.058386135e-08  4.264593498e-09 -5.235990281e-01
1.800000000e-01 -5.847046703e-08  3.104861804e-07 -5.236016399e-01  1.047194314e+00 -5.236006254e-01 -2.979328987e-07 -5.503934970e-08  1.718192699e-07 -5.236014199e-01  1.047194010e+00 -5.236009564e-01  4.989135142e-07  1.745329168e+00  2.969750354e-08 -2.623824009e-09 -5.235990299e-01  1.745329163e+00 -1.074218988e-08  4.543239073e-09 -5.235990299e-01
1.900000000e-01 -5.843541020e-08  3.324536984e-07 -5.236018963e-01  1.047194011e+00 -5.236008200e-01 -3.149631057e-07 -6.002946945e-08  1.878825021e-07 -5.236016669e-01  1.047193694e+00 -5.236011661e-01  5.178717395e-07  1.745329176e+00  3.159012735e-08 -2.661663985e-09 -5.235990317e-01  1.745329171e+00 -1.084631519e-08  4.824731207e-09 -5.235990317e-01
2.000000000e-01 -6.320871509e-08  3.553842104e-07 -5.236021648e-01  1.047193698e+00 -5.236010253e-01 -3.304697334e-07 -6.027250848e-08  2.046290671e-07 -5.236019253e-01  1.047193368e+00 -5.236013862e-01  5.349524243e-07  1.745329185e+00  3.351727418e-08 -2.689260825e-09 -5.235990335e-01  1.745329180e+00 -1.089190768e-08  5.109214510e-09 -5.235990335e-01
2.100000000e-01 -6.671634073e-08  3.789769175e-07 -5.236024445e-01  1.047193374e+00 -5.236012407e-01 -3.510017287e-07 -6.202352026e-08  2.204593530e-07 -5.236021960e-01  1.047193032e+00 -5.236016181e-01  5.543926232e-07  1.745329193e+00  3.545893021e-08 -2.704536441e-09 -5.235990353e-01  1.745329187e+00 -1.089965495e-08  5.397653274e-09 -5.235990354e-01
2.200000000e-01 -6.708376654e-08  4.025552922e-07 -5.236027358e-01  1.047193040e+00 -5.236014677e-01 -3.689982488e-07 -6.637751891e-08  2.379731554e-07 -5.236024785e-01  1.047192686e+00 -5.236018597e-01  5.707758862e-07  1.745329201e+00  3.742619178e-08 -2.709061608e-09 -5.235990371e-01  1.745329195e+00 -1.085808288e-08  5.689860438e-09 -5.235990372e-01
